Date,Name,Year,Letterboxd URI,Rating
2023-06-26,Apocalypse Now,1979,https://boxd.it/6ZS,4.5
2023-06-26,Gemini Man,2019,https://boxd.it/gaUu,2
2023-06-26,Dune,2021,https://boxd.it/fA7G,3.5
2023-06-26,Inception,2010,https://boxd.it/1skk,4.5
2023-06-26,American Psycho,2000,https://boxd.it/28Vs,3
2023-06-26,The Social Network,2010,https://boxd.it/17ue,4
2023-06-26,Guardians of the Galaxy,2014,https://boxd.it/3VH2,4
2023-06-26,GoodFellas,1990,https://boxd.it/29FA,4
2023-06-26,Donnie Darko,2001,https://boxd.it/2b2A,4
2023-06-26,The Hateful Eight,2015,https://boxd.it/8gw8,4
2023-06-26,Reservoir Dogs,1992,https://boxd.it/2agc,3.5
2023-06-26,Iron Man,2008,https://boxd.it/28dA,3.5
2023-06-26,Captain Marvel,2019,https://boxd.it/9vSA,2
2023-06-26,The Hunger Games,2012,https://boxd.it/2uds,3.5
2023-06-26,Captain America: The Winter Soldier,2014,https://boxd.it/3r58,4
2023-06-26,Deadpool 2,2018,https://boxd.it/dlLM,3.5
2023-06-26,Deadpool,2016,https://boxd.it/9fOC,4
2023-06-26,Captain America: Civil War,2016,https://boxd.it/89Ja,3
2023-06-26,Snowpiercer,2013,https://boxd.it/3Icg,4
2023-06-26,Ready Player One,2018,https://boxd.it/aZes,3.5
2023-06-26,I Am Legend,2007,https://boxd.it/21DG,3.5
2023-06-26,Wanted,2008,https://boxd.it/1ZBS,3
2023-06-26,Ant-Man,2015,https://boxd.it/3vmW,1.5
2023-06-26,Eternals,2021,https://boxd.it/j36o,1.5
2023-06-26,Ant-Man and the Wasp,2018,https://boxd.it/cqUW,1.5
2023-06-26,Unbreakable,2000,https://boxd.it/1XV2,3
2023-06-26,Glass,2019,https://boxd.it/g3uO,3
2023-06-26,The Devil's Advocate,1997,https://boxd.it/286k,3
2023-06-26,Iron Man 2,2010,https://boxd.it/1WZM,3
2023-06-26,Scarface,1983,https://boxd.it/2b7g,4
2023-06-26,Comment c'est loin,2015,https://boxd.it/cHhM,2.5
2023-06-26,War Dogs,2016,https://boxd.it/9SlO,3.5
2023-06-26,The Incredible Hulk,2008,https://boxd.it/28dU,3
2023-06-26,The Matrix,1999,https://boxd.it/2a1m,5
2023-06-26,The Shawshank Redemption,1994,https://boxd.it/2aHi,5
2023-06-26,The Truman Show,1998,https://boxd.it/18U8,5
2023-06-26,Shutter Island,2010,https://boxd.it/1U82,5
2023-06-26,Fight Club,1999,https://boxd.it/2a9q,5
2023-06-26,Pulp Fiction,1994,https://boxd.it/29Pq,5
2023-06-26,Kingsman: The Secret Service,2014,https://boxd.it/6dxe,3.5
2023-06-26,Se7en,1995,https://boxd.it/29zs,5
2023-06-26,The Dark Knight,2008,https://boxd.it/2b0k,5
2023-06-26,Django Unchained,2012,https://boxd.it/2cCk,5
2023-06-26,Doctor Strange,2016,https://boxd.it/8MH8,3.5
2023-06-26,The Equalizer,2014,https://boxd.it/4TUK,3.5
2023-06-27,The Matrix Resurrections,2021,https://boxd.it/n87k,2.5
2023-06-27,The Matrix Reloaded,2003,https://boxd.it/2a1c,3.5
2023-06-27,The Matrix Revolutions,2003,https://boxd.it/2a12,3
2023-06-27,Men in Black,1997,https://boxd.it/2a0I,3.5
2023-06-27,John Wick: Chapter 3 – Parabellum,2019,https://boxd.it/gmFw,3.5
2023-06-27,John Wick: Chapter 2,2017,https://boxd.it/ayGu,3
2023-06-27,X-Men: Days of Future Past,2014,https://boxd.it/4aRw,3
2023-06-27,X-Men: Apocalypse,2016,https://boxd.it/7eJi,2.5
2023-06-27,Dark Phoenix,2019,https://boxd.it/anyO,2
2023-06-27,X-Men: First Class,2011,https://boxd.it/FOA,3.5
2023-06-27,Man of Steel,2013,https://boxd.it/FRk,3.5
2023-06-27,X-Men Origins: Wolverine,2009,https://boxd.it/27ug,2.5
2023-06-27,X-Men: The Last Stand,2006,https://boxd.it/1a5Q,2
2023-06-27,The Hunger Games: Mockingjay – Part 2,2015,https://boxd.it/4hk0,3
2023-06-27,Avengers: Infinity War,2018,https://boxd.it/9vEe,4
2023-06-27,Avengers: Endgame,2019,https://boxd.it/9vE4,3.5
2023-06-27,Thor: The Dark World,2013,https://boxd.it/2DqA,2
2023-06-27,The Wolverine,2013,https://boxd.it/2CWU,3.5
2023-06-27,Iron Man 3,2013,https://boxd.it/2cBQ,3
2023-06-27,The Avengers,2012,https://boxd.it/1xFW,3
2023-06-27,Captain America: The First Avenger,2011,https://boxd.it/28b0,2.5
2023-06-27,Thor,2011,https://boxd.it/1WQU,2.5
2023-06-27,X2,2003,https://boxd.it/1a7i,3
2023-06-27,X-Men,2000,https://boxd.it/1a7s,3
2023-06-27,The Hunger Games: Catching Fire,2013,https://boxd.it/3sAw,3
2023-06-27,Maze Runner: The Scorch Trials,2015,https://boxd.it/9hwA,2.5
2023-06-27,Maze Runner: The Death Cure,2018,https://boxd.it/bakw,2
2023-06-27,Thor: Ragnarok,2017,https://boxd.it/8MHi,3.5
2023-06-27,Avengers: Age of Ultron,2015,https://boxd.it/3qi6,3
2023-06-27,Back to the Future,1985,https://boxd.it/2b8e,4
2023-06-27,Back to the Future Part II,1989,https://boxd.it/2aYI,4
2023-06-27,Back to the Future Part III,1990,https://boxd.it/2aTS,3.5
2023-06-27,Shrek 2,2004,https://boxd.it/29z8,4
2023-06-27,No Country for Old Men,2007,https://boxd.it/21ew,4.5
2023-06-27,Heat,1995,https://boxd.it/2bg8,4.5
2023-06-27,Taxi Driver,1976,https://boxd.it/2b8y,4.5
2023-06-27,The Batman,2022,https://boxd.it/eDGs,4.5
2023-06-27,Blade Runner,1982,https://boxd.it/2bcA,4.5
2023-06-28,Black Panther,2018,https://boxd.it/8MHs,3
2023-06-28,Batman Begins,2005,https://boxd.it/2aIg,3.5
2023-06-28,The Platform,2019,https://boxd.it/mUm6,3.5
2023-06-28,Men in Black II,2002,https://boxd.it/2a0y,2.5
2023-06-28,Black Widow,2021,https://boxd.it/hWV8,2.5
2023-06-28,The Menu,2022,https://boxd.it/lScm,2.5
2023-06-28,The Gray Man,2022,https://boxd.it/rb7q,2
2023-06-28,The Place Beyond the Pines,2012,https://boxd.it/3mDu,4.5
2023-06-28,The Hunger Games: Mockingjay – Part 1,2014,https://boxd.it/4hka,2.5
2023-06-28,Men in Black 3,2012,https://boxd.it/103U,2.5
2023-06-29,American History X,1998,https://boxd.it/2bdo,4.5
2023-06-30,Legend,2015,https://boxd.it/8qZY,3
2023-06-30,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,2.5
2023-06-30,Spider-Man: Far From Home,2019,https://boxd.it/fegG,2
2023-07-01,Saving Private Ryan,1998,https://boxd.it/29ro,4
2023-07-02,There Will Be Blood,2007,https://boxd.it/20Z2,4.5
2023-07-02,Sicario: Day of the Soldado,2018,https://boxd.it/e4fG,3
2023-07-02,8 Mile,2002,https://boxd.it/2bew,3.5
2023-07-03,Spider-Man: Homecoming,2017,https://boxd.it/aboM,2.5
2023-07-03,Thor: Love and Thunder,2022,https://boxd.it/mMAY,2
2023-07-04,Nobody,2021,https://boxd.it/mLqS,3
2023-07-04,Arrival,2016,https://boxd.it/aNGk,4.5
2023-07-05,Titanic,1997,https://boxd.it/2a2k,4
2023-07-06,Prisoners,2013,https://boxd.it/4E5i,5
2023-07-06,Dunkirk,2017,https://boxd.it/d0Y6,4
2023-07-06,In Time,2011,https://boxd.it/FPS,2.5
2023-07-07,Carlito's Way,1993,https://boxd.it/226e,3.5
2023-07-08,Batman v Superman: Dawn of Justice,2016,https://boxd.it/6fBW,2.5
2023-07-08,"Love, Death & Robots: Bad Travelling",2022,https://boxd.it/BykM,4
2023-07-09,The Big Short,2015,https://boxd.it/ajZw,3
2023-07-09,Get Out,2017,https://boxd.it/eOCm,4
2023-07-09,Casino,1995,https://boxd.it/2ads,4
2023-07-09,La La Land,2016,https://boxd.it/a5fa,4
2023-07-11,Midsommar,2019,https://boxd.it/jhxe,3.5
2023-07-17,Clean,2021,https://boxd.it/pKXC,2.5
2023-07-17,Detachment,2011,https://boxd.it/2BiY,3
2023-07-17,Kate,2021,https://boxd.it/m2qy,2.5
2023-07-17,Tom Clancy's Without Remorse,2021,https://boxd.it/kNyA,2
2023-07-18,Schindler's List,1993,https://boxd.it/2aq2,4.5
2023-07-19,Catch Me If You Can,2002,https://boxd.it/29VS,4
2023-07-23,Tenet,2020,https://boxd.it/leq4,3.5
2023-07-23,Hacksaw Ridge,2016,https://boxd.it/azew,3.5
2023-07-23,Brothers,2009,https://boxd.it/20WW,4
2023-07-31,Enemy,2013,https://boxd.it/5xtO,4
2023-08-01,A Quiet Place,2018,https://boxd.it/fVJQ,3.5
2023-08-02,A Quiet Place Part II,2020,https://boxd.it/iTx0,3.5
2023-08-04,The Northman,2022,https://boxd.it/nK2s,3.5
2023-08-22,The Lego Movie,2014,https://boxd.it/4pDO,3.5
2023-08-22,Suicide Squad,2016,https://boxd.it/9row,2.5
2023-09-21,The Irishman,2019,https://boxd.it/dYOq,3
2023-09-21,Warcraft,2016,https://boxd.it/2czK,2.5
2023-09-23,Jarhead,2005,https://boxd.it/70m,3.5
2023-09-28,Venom: Let There Be Carnage,2021,https://boxd.it/llco,2
2023-10-26,The Gentlemen,2019,https://boxd.it/iYBQ,3
2023-10-27,Sisu,2022,https://boxd.it/vHpu,3
2023-10-29,Bronson,2008,https://boxd.it/1GM8,3
2023-11-12,Babylon,2022,https://boxd.it/mM02,4
2023-11-14,Jackie Brown,1997,https://boxd.it/2aVO,3
2023-11-15,End of Watch,2012,https://boxd.it/2F5O,3.5
2023-11-24,Source Code,2011,https://boxd.it/fdo,3.5
2023-11-25,The Pursuit of Happyness,2006,https://boxd.it/28PE,4
2023-11-26,The Pianist,2002,https://boxd.it/2aqc,4.5
2023-11-27,Taken,2008,https://boxd.it/1ZXa,3.5
2023-11-27,The Master,2012,https://boxd.it/2cBG,4
2023-12-14,Gran Torino,2008,https://boxd.it/1Qzy,3.5
2023-12-24,Oldboy,2003,https://boxd.it/29R2,4
2023-12-25,Gladiator,2000,https://boxd.it/2b9m,4.5
2023-12-26,Pirates of the Caribbean: The Curse of the Black Pearl,2003,https://boxd.it/70G,4
2023-12-27,Incendies,2010,https://boxd.it/Msm,4.5
2023-12-29,Pirates of the Caribbean: On Stranger Tides,2011,https://boxd.it/27Z4,3
2023-12-29,Pirates of the Caribbean: Dead Man's Chest,2006,https://boxd.it/2bfk,4
2023-12-29,Pirates of the Caribbean: At World's End,2007,https://boxd.it/2aGu,4
2023-12-30,Pirates of the Caribbean: Dead Men Tell No Tales,2017,https://boxd.it/5a9m,3
2024-01-01,Zombieland,2009,https://boxd.it/1En6,3
2024-01-02,The Machinist,2004,https://boxd.it/248c,4
2024-01-02,Oppenheimer,2023,https://boxd.it/wUow,4
2024-01-07,Ready or Not,2019,https://boxd.it/kOf0,3.5
2024-01-07,Léon: The Professional,1994,https://boxd.it/2b8S,4
2024-01-07,Zombieland: Double Tap,2019,https://boxd.it/bgb6,3
2024-01-11,Yannick,2023,https://boxd.it/G2es,4
2024-01-12,Gravity,2013,https://boxd.it/GZY,3.5
2024-01-13,The Lighthouse,2019,https://boxd.it/icFU,4
2024-01-14,"The French Dispatch of the Liberty, Kansas Evening Sun",2021,https://boxd.it/jLP8,3
2024-01-15,300,2006,https://boxd.it/28XI,4
2024-01-15,Society of the Snow,2023,https://boxd.it/y9aw,4.5
2024-01-16,Spider-Man,2002,https://boxd.it/2a8i,3.5
2024-01-17,Spider-Man 2,2004,https://boxd.it/2a88,4
2024-01-18,Spider-Man 3,2007,https://boxd.it/2a7Y,3
2024-01-18,The Martian,2015,https://boxd.it/8SeG,3
2024-01-20,The Amazing Spider-Man,2012,https://boxd.it/27PI,3
2024-01-20,The Amazing Spider-Man 2,2014,https://boxd.it/3utM,2.5
2024-01-21,Ratatouille,2007,https://boxd.it/27ww,4
2024-01-22,Southpaw,2015,https://boxd.it/9Phu,3.5
2024-01-22,John Wick: Chapter 4,2023,https://boxd.it/mh48,3.5
2024-01-22,The Silence of the Lambs,1991,https://boxd.it/2aHW,4.5
2024-01-24,Memories of Murder,2003,https://boxd.it/1TSo,4
2024-01-24,Forrest Gump,1994,https://boxd.it/728,4
2024-01-24,Room,2015,https://boxd.it/7T0y,5
2024-01-24,Barbie,2023,https://boxd.it/bCLK,3
2024-01-24,"I, Robot",2004,https://boxd.it/27y8,3.5
2024-01-25,The Shining,1980,https://boxd.it/29Nu,3.5
2024-01-25,Venom,2018,https://boxd.it/b8wA,2.5
2024-01-26,Black Swan,2010,https://boxd.it/Sw0,4.5
2024-01-26,Knives Out,2019,https://boxd.it/jWEA,4.5
2024-01-28,Hannibal,2001,https://boxd.it/1XVc,3.5
2024-01-29,Scent of a Woman,1992,https://boxd.it/1YAu,4
2024-01-29,Good Time,2017,https://boxd.it/fcFu,4
2024-01-30,Napoleon,2023,https://boxd.it/shJM,3.5
2024-01-31,The Hunt,2012,https://boxd.it/3wEC,4.5
2024-02-01,Requiem for a Dream,2000,https://boxd.it/29VI,4
2024-02-02,Panic Room,2002,https://boxd.it/2490,4
2024-02-03,Only God Forgives,2013,https://boxd.it/2HBs,2.5
2024-02-04,Another Round,2020,https://boxd.it/lkba,3.5
2024-02-05,Collateral,2004,https://boxd.it/28F0,4
2024-02-07,Donnie Brasco,1997,https://boxd.it/1YRA,3.5
2024-02-07,The Killer,2023,https://boxd.it/u6WE,3.5
2024-02-08,Killers of the Flower Moon,2023,https://boxd.it/gHp0,4
2024-02-09,Swiss Army Man,2016,https://boxd.it/bDG2,3
2024-02-09,Parasite,2019,https://boxd.it/hTha,4.5
2024-02-12,Gangster Squad,2013,https://boxd.it/2TVa,3
2024-02-13,Full Metal Jacket,1987,https://boxd.it/2a1Q,4
2024-02-13,The Game,1997,https://boxd.it/26vC,4
2024-02-14,The Green Mile,1999,https://boxd.it/2agG,5
2024-02-16,Glass Onion,2022,https://boxd.it/oCkK,3
2024-02-17,Jurassic Park,1993,https://boxd.it/2aA2,4
2024-02-18,The Lost World: Jurassic Park,1997,https://boxd.it/2azS,2.5
2024-02-19,Jurassic World,2015,https://boxd.it/4n0g,3.5
2024-02-20,Jurassic Park III,2001,https://boxd.it/2azI,2.5
2024-02-20,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,3
2024-02-21,Jurassic World Dominion,2022,https://boxd.it/ikXW,2.5
2024-02-22,The Aviator,2004,https://boxd.it/26BU,4
2024-02-23,Us,2019,https://boxd.it/gnV6,3.5
2024-02-25,Insomnia,2002,https://boxd.it/2aB0,3.5
2024-02-26,Gangs of New York,2002,https://boxd.it/25FG,3.5
2024-02-27,Miami Vice,2006,https://boxd.it/2bbW,3.5
2024-02-27,The Insider,1999,https://boxd.it/1ZoE,4
2024-02-28,All Your Faces,2023,https://boxd.it/BOP2,4.5
2024-03-01,Junkyard Dog,2023,https://boxd.it/A9H0,3.5
2024-03-03,Hostiles,2017,https://boxd.it/dpiO,3.5
2024-03-04,Shot Caller,2017,https://boxd.it/bihA,4
2024-03-05,Don't Look Up,2021,https://boxd.it/o0Hc,3
2024-03-06,Uncut Gems,2019,https://boxd.it/gXGc,3.5
2024-03-06,Jojo Rabbit,2019,https://boxd.it/iEBG,4.5
2024-03-07,Rocky,1976,https://boxd.it/28Uk,4
2024-03-08,Rocky II,1979,https://boxd.it/28Ua,4
2024-03-10,Rocky III,1982,https://boxd.it/28Tw,3.5
2024-03-10,Once Upon a Time in America,1984,https://boxd.it/2aCs,4.5
2024-03-11,Rocky IV,1985,https://boxd.it/28T2,3
2024-03-12,Rocky V,1990,https://boxd.it/28SS,2.5
2024-03-13,Rocky Balboa,2006,https://boxd.it/291q,3.5
2024-03-14,Creed,2015,https://boxd.it/a2qk,4
2024-03-15,Creed II,2018,https://boxd.it/hgl8,3.5
2024-03-16,Creed III,2023,https://boxd.it/pf68,3.5
2024-03-17,Fast & Furious Presents: Hobbs & Shaw,2019,https://boxd.it/dnDA,2.5
2024-03-17,Pacific Rim,2013,https://boxd.it/2cB2,3.5
2024-03-18,Babel,2006,https://boxd.it/292o,3
2024-03-19,Argo,2012,https://boxd.it/2czU,3.5
2024-03-20,The Guilty,2021,https://boxd.it/kOPW,3.5
2024-03-23,Ford v Ferrari,2019,https://boxd.it/ce74,4.5
2024-03-25,Beau Is Afraid,2023,https://boxd.it/u2gE,3.5
2024-03-27,Ex Machina,2015,https://boxd.it/7T2k,4
2024-03-28,Road House,2024,https://boxd.it/cdzQ,3
2024-03-29,The Big Lebowski,1998,https://boxd.it/2b6C,3.5
2024-03-30,Poor Things,2023,https://boxd.it/tNWU,4
2024-03-31,Unbroken,2014,https://boxd.it/6IaA,3.5
2024-04-01,The Imitation Game,2014,https://boxd.it/6aig,4
2024-04-02,Dallas Buyers Club,2013,https://boxd.it/4O8G,4
2024-04-04,Nope,2022,https://boxd.it/sDCe,3
2024-04-04,The Witch,2015,https://boxd.it/9X0m,3.5
2024-04-05,Finch,2021,https://boxd.it/iXBq,3.5
2024-04-06,The Girl with the Dragon Tattoo,2011,https://boxd.it/2Pa,4
2024-04-08,Harry Potter and the Philosopher's Stone,2001,https://boxd.it/29QS,4
2024-04-08,Harry Potter and the Chamber of Secrets,2002,https://boxd.it/29QI,3.5
2024-04-09,Harry Potter and the Prisoner of Azkaban,2004,https://boxd.it/29Qy,4.5
2024-04-10,Harry Potter and the Goblet of Fire,2005,https://boxd.it/29Qo,3.5
2024-04-11,Harry Potter and the Order of the Phoenix,2007,https://boxd.it/29Qe,4
2024-04-13,Harry Potter and the Deathly Hallows: Part 1,2010,https://boxd.it/1RYu,3.5
2024-04-13,Harry Potter and the Half-Blood Prince,2009,https://boxd.it/29FU,3
2024-04-13,Fantastic Beasts and Where to Find Them,2016,https://boxd.it/7FPC,3
2024-04-14,Harry Potter and the Deathly Hallows: Part 2,2011,https://boxd.it/1RYk,4
2024-04-16,The Wolf's Call,2019,https://boxd.it/hqkE,4
2024-04-17,Don't Be a Menace to South Central While Drinking Your Juice in the Hood,1996,https://boxd.it/1VQa,3
2024-04-18,The Thin Red Line,1998,https://boxd.it/1ZTM,4.5
2024-04-20,Nocturnal Animals,2016,https://boxd.it/bkFu,4
2024-04-20,The Creator,2023,https://boxd.it/oXWq,3.5
2024-04-21,Kill Bill: Vol. 1,2003,https://boxd.it/70w,4
2024-04-21,Kill Bill: Vol. 2,2004,https://boxd.it/2au4,3.5
2024-04-23,The Boy in the Striped Pyjamas,2008,https://boxd.it/1NOK,4.5
2024-04-26,28 Days Later,2002,https://boxd.it/2aXU,4
2024-04-27,28 Weeks Later,2007,https://boxd.it/28Bi,3
2024-04-28,Twelve Monkeys,1995,https://boxd.it/2beQ,3.5
2024-04-30,Monkey Man,2024,https://boxd.it/kvsO,4
2024-05-01,The Mist,2007,https://boxd.it/22r2,3
2024-05-02,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ,4
2024-05-03,Edge of Tomorrow,2014,https://boxd.it/4pD0,3.5
2024-05-04,The Road,2009,https://boxd.it/1CWI,4
2024-05-06,Papillon,2017,https://boxd.it/fnvK,3.5
2024-05-07,Lion,2016,https://boxd.it/b2La,4
2024-05-08,10 Cloverfield Lane,2016,https://boxd.it/aZiu,3.5
2024-05-09,Extraction,2020,https://boxd.it/jUjA,3
2024-05-10,Extraction 2,2023,https://boxd.it/q4Zo,3.5
2024-05-11,Saw,2004,https://boxd.it/2aWW,4
2024-05-11,Saw II,2005,https://boxd.it/2aRs,3
2024-05-12,Saw III,2006,https://boxd.it/2aRC,2.5
2024-05-13,Saw IV,2007,https://boxd.it/29Sa,2.5
2024-05-17,Saw V,2008,https://boxd.it/1SMa,2.5
2024-05-17,Saw VI,2009,https://boxd.it/1A2y,3
2024-05-18,Jigsaw,2017,https://boxd.it/9sDs,2
2024-05-18,Saw 3D,2010,https://boxd.it/Znk,2
2024-05-19,Spiral: From the Book of Saw,2021,https://boxd.it/meXk,1.5
2024-05-20,Saw X,2023,https://boxd.it/zUWk,3
2024-05-21,American Gangster,2007,https://boxd.it/23wi,3.5
2024-05-23,The Pale Blue Eye,2022,https://boxd.it/u8tk,3
2024-05-24,Final Destination,2000,https://boxd.it/1YrC,3
2024-05-24,Aftersun,2022,https://boxd.it/Arw0,5
2024-05-25,Death Proof,2007,https://boxd.it/27GG,3.5
2024-05-26,White Boy Rick,2018,https://boxd.it/fAwG,3.5
2024-05-27,Million Dollar Baby,2004,https://boxd.it/2bdI,4
2024-05-28,Her,2013,https://boxd.it/4O24,3.5
2024-05-29,Snatch,2000,https://boxd.it/2b7U,3.5
2024-05-30,Talk to Me,2022,https://boxd.it/C6uQ,3.5
2024-05-31,The Fall Guy,2024,https://boxd.it/s0Bm,3.5
2024-06-01,The Terminator,1984,https://boxd.it/2aQY,4
2024-06-02,Unthinkable,2010,https://boxd.it/16y0,3
2024-06-03,Terminator 2: Judgment Day,1991,https://boxd.it/2aGY,4.5
2024-06-04,Terminator 3: Rise of the Machines,2003,https://boxd.it/2aES,3
2024-06-05,Terminator Salvation,2009,https://boxd.it/2abQ,3.5
2024-06-06,Terminator Genisys,2015,https://boxd.it/35s0,2.5
2024-06-08,Terminator: Dark Fate,2019,https://boxd.it/96YI,3
2024-06-09,Suspiria,1977,https://boxd.it/1SNW,4
2024-06-11,Amélie,2001,https://boxd.it/2aUc,4.5
2024-06-12,Don't Breathe 2,2021,https://boxd.it/hla0,3
2024-06-13,I Saw the Devil,2010,https://boxd.it/FaK,4
2024-06-14,V for Vendetta,2005,https://boxd.it/29Ik,4.5
2024-06-15,Little Miss Sunshine,2006,https://boxd.it/29EW,4.5
2024-06-16,Demolition,2015,https://boxd.it/9GuY,3.5
2024-06-18,Public Enemies,2009,https://boxd.it/1U8m,3
2024-06-18,The Iron Claw,2023,https://boxd.it/w5Pm,4
2024-06-20,12 Years a Slave,2013,https://boxd.it/2D2e,4
2024-06-22,The Whale,2022,https://boxd.it/tw4c,4.5
2024-06-23,A Man Called Otto,2022,https://boxd.it/zl06,3.5
2024-06-24,The Tree of Life,2011,https://boxd.it/1Zu8,4.5
2024-06-26,Army of Thieves,2021,https://boxd.it/tYai,3
2024-06-26,Mad Max: Fury Road,2015,https://boxd.it/2DjO,5
2024-06-27,Furiosa: A Mad Max Saga,2024,https://boxd.it/tABk,4.5
2024-06-28,The Maze Runner,2014,https://boxd.it/5YPM,3.5
2024-07-01,Now Where Did the Seventh Company Get to?,1973,https://boxd.it/3fYg,3.5
2024-07-01,The Seventh Company Has Been Found,1975,https://boxd.it/e65S,4
2024-07-01,The Seventh Company Outdoors,1977,https://boxd.it/oJy,3
2024-07-02,The Equalizer 2,2018,https://boxd.it/bAEW,3
2024-07-02,American Sniper,2014,https://boxd.it/5LDy,3
2024-07-03,The Intouchables,2011,https://boxd.it/2FT0,4
2024-07-04,mother!,2017,https://boxd.it/dgRU,4
2024-07-05,The Equalizer 3,2023,https://boxd.it/yU54,3.5
2024-07-06,The Book of Eli,2010,https://boxd.it/1Dnu,3.5
2024-07-08,Scream,1996,https://boxd.it/24EC,4
2024-07-09,Scream 2,1997,https://boxd.it/24Es,3.5
2024-07-10,Scream 3,2000,https://boxd.it/24Ei,2.5
2024-07-11,Scream 4,2011,https://boxd.it/Zmc,3
2024-07-12,Scream,2022,https://boxd.it/o0lg,2.5
2024-07-13,Scream VI,2023,https://boxd.it/zdfW,2
2024-07-14,Rise of the Planet of the Apes,2011,https://boxd.it/cS4,4
2024-07-15,Cruella,2021,https://boxd.it/bbKg,4
2024-07-15,Dawn of the Planet of the Apes,2014,https://boxd.it/3XyQ,4
2024-07-16,War for the Planet of the Apes,2017,https://boxd.it/8FE2,4
2024-07-17,Kingdom of the Planet of the Apes,2024,https://boxd.it/ohEE,4
2024-07-18,The Bikeriders,2023,https://boxd.it/C6Ym,3.5
2024-07-19,It Follows,2014,https://boxd.it/87wo,3.5
2024-07-20,"O Brother, Where Art Thou?",2000,https://boxd.it/2b3I,3.5
2024-07-21,The Zone of Interest,2023,https://boxd.it/gJsA,3.5
2024-07-22,Primal Fear,1996,https://boxd.it/28ws,4
2024-07-23,Killing Them Softly,2012,https://boxd.it/IQ,3
2024-07-24,[REC],2007,https://boxd.it/20ma,3
2024-07-25,Sin City,2005,https://boxd.it/2aVk,4
2024-07-26,Mystic River,2003,https://boxd.it/2aAG,4
2024-07-27,Kingdom of Heaven,2005,https://boxd.it/28Gs,4
2024-07-28,The Florida Project,2017,https://boxd.it/dMG0,4
2024-07-29,Cast Away,2000,https://boxd.it/20i8,4
2024-07-30,World War Z,2013,https://boxd.it/2p2E,3
2024-07-31,It,2017,https://boxd.it/bC8e,3.5
2024-08-01,Good Will Hunting,1997,https://boxd.it/2ahY,4.5
2024-08-02,Cloverfield,2008,https://boxd.it/2192,3
2024-08-03,Lost in Translation,2003,https://boxd.it/2b0E,3.5
2024-08-04,"I, Tonya",2017,https://boxd.it/dzR0,4
2024-08-05,The Town,2010,https://boxd.it/1zyS,3.5
2024-08-06,Dog Pound,2010,https://boxd.it/TfE,3.5
2024-08-07,The World Is Yours,2018,https://boxd.it/iehq,3.5
2024-08-10,X,2022,https://boxd.it/sxVa,2.5
2024-08-11,Pearl,2022,https://boxd.it/zPbe,2.5
2024-08-11,MaXXXine,2024,https://boxd.it/CIM4,3
2024-08-12,Ad Astra,2019,https://boxd.it/ePzI,3.5
2024-08-14,Asteroid City,2023,https://boxd.it/s3ds,3
